,BJD-2450000,RV (m/s),\sigma_{RV},Instrument
83,7793.17997399997,518.551695141362,8.03695487976074,HIRES
84,7879.609456889797,331.8178429551008,1.30713539016005,HARPS-N GAPS 2015-2017
85,7891.38229137985,-237.30842212179778,3.63923333301605,HARPS-N GAPS 2015-2017
86,7891.388853840064,-127.1720634673984,3.61539147519218,HARPS-N GAPS 2015-2017
87,7891.39283529995,-191.7894225650016,3.32638798488587,HARPS-N GAPS 2015-2017
88,7891.396469539963,-180.92980059759793,3.35551027992719,HARPS-N GAPS 2015-2017
89,7891.684766429942,-617.7061824021002,3.23942052143616,HARPS-N GAPS 2015-2017
90,7891.693111290224,-594.1143208032008,1.85760238382481,HARPS-N GAPS 2015-2017
91,7953.485337430146,-218.48275825109886,1.21084560218239,HARPS-N GAPS 2015-2017
92,7975.437345589977,221.06691826670067,1.42622564434915,HARPS-N GAPS 2015-2017
